Title,Location,Rent,Area,Furnishing,Bathrooms
Office Space for Rent in Mahatma Gandhi Road Bangalore,,₹2.8 Lac,Super Area1890 sqft,Const. Age Less than 5 years,2.0
"3 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore",,"₹69,000",Carpet Area986 sqft,3,3.0
Office Space for Rent in Electronic City Bangalore,,₹6 Lac,Carpet Area9000 sqft,Bachelors/Family,4.0
"4 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore",,₹1 Lac,Carpet Area2000 sqft,4,4.0
"Office Space for Rent in Itpl, Whitefield Bangalore",,₹11.6 Lac,Carpet Area13800 sqft,Bachelors/Family,8.0
"2 BHK Flat for Rent in Sparkle Marquise, Bannerghatta Main Road, Bangalore",,"₹55,000",Carpet Area834 sqft,2,2.0
Office Space for Rent in Indiranagar Bangalore,,₹2 Lac,Carpet Area2500 sqft,Bachelors/Family,5.0
"2 BHK Flat for Rent in Godrej Woodsman Estate, Hebbal, Bangalore",,"₹59,000",Super Area1302 sqft,2,2.0
"Office Space for Rent in Itpl, Whitefield Bangalore",,₹1.3 Lac,Carpet Area800 sqft,Bachelors/Family,7.0
"4 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore",,₹1.3 Lac,Carpet Area3122 sqft,5,5.0
"1 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore",,"₹33,000",Carpet Area422 sqft,1,1.0
3 BHK House for Rent in Haralur Main Road Bangalore,,"₹45,000",Super Area2100 sqft,3,3.0
"3 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore",,"₹68,000",Carpet Area1200 sqft,3,3.0
"4 BHK Flat for Rent in Lavelle Road, Bangalore",,₹4.5 Lac,Carpet Area3800 sqft,5,5.0
Office Space for Rent in Block 4th Jayanagar Bangalore,,₹10 Lac,Carpet Area11000 sqft,Bachelors/Family,6.0
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapur Road, Bangalore",,"₹55,000",Carpet Area1500 sqft,3,3.0
Office Space for Rent in Stage 1 Indiranagar Bangalore,,₹3 Lac,Carpet Area3700 sqft,Bachelors/Family,5.0
"4 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore",,₹1.3 Lac,Carpet Area2400 sqft,5,5.0
4 BHK Villa for Rent in Carmelaram Bangalore,,₹1.3 Lac,Carpet Area2111 sqft,4,4.0
"2 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore",,"₹52,000",Super Area1218 sqft,2,2.0
"3 BHK Flat for Rent in Hiranandani Glen Gate, Hebbal, Bangalore",,"₹58,000",Carpet Area1250 sqft,2,2.0
"3 BHK Flat for Rent in Gopalan Aqua, Whitefield, Bangalore",,"₹75,000",Carpet Area1344 sqft,3,3.0
Office Space for Rent in Jakkuru Bangalore,,₹5.6 Lac,Carpet Area3500 sqft,Bachelors/Family,5.0
"2 BHK Flat for Rent in Akme Ballet, Doddanekundi, Kartik Nagar, Bangalore",,"₹65,000",Super Area1285 sqft,2,2.0
"3 BHK Flat for Rent in Sobha Windsor, Whitefield, Bangalore",,"₹65,000",Carpet Area1100 sqft,3,3.0
"3 BHK Flat for Rent in Sobha City Casa Paradiso, RK Hegde Nagar, Bangalore",,"₹60,000",Super Area2100 sqft,4,4.0
"3 BHK Flat for Rent in Phoenix One Bangalore West, 1st Block Rajajinagar, Bangalore",,₹2 Lac,Carpet Area1277 sqft,3,3.0
"4 BHK Flat for Rent in Sobha Indraprastha, Rajajinagar Industrial Town, Rajajinagar, Bangalore",,₹1.8 Lac,Carpet Area1700 sqft,4,4.0
"4 BHK Flat for Rent in Alpine Viva, Whitefield, Bangalore",,"₹60,000",Super Area2495 sqft,4,4.0
"3 BHK Flat for Rent in DNR Arista, Bellandur, Outer Ring Road, Bangalore",,"₹79,000",Super Area1680 sqft,3,3.0
"3 BHK Flat for Rent in Vaswani Exquisite, Siddapura Whitefield, Bangalore",,"₹85,000",Carpet Area1300 sqft,3,3.0
Warehouse/ Godown for Rent in Jigani Bangalore,,₹8.6 Lac,"Super Area43,000 sqft",Bachelors/Family,
"3 BHK Flat for Rent in Sobha Classic, Haralur, Bangalore",,"₹65,000",Super Area1754 sqft,3,3.0
"1 BHK Flat for Rent in Bhartiya City Leela Residences, Chokkanahalli, Bangalore",,₹1.5 Lac,Carpet Area900 sqft,1,1.0
"3 BHK Flat for Rent in DLF Westend Heights New Town, Akshayanagar, Bangalore",,"₹50,000",Carpet Area1361 sqft,3,3.0
"3 BHK Flat for Rent in Century Infiniti, Sarjapur Road, Bangalore",,"₹70,000",Super Area1798 sqft,3,14.0
"3 BHK Flat for Rent in Prestige Woodland Park, D Costa Layout, Cooke Town, Bangalore",,₹1.2 Lac,Carpet Area1400 sqft,3,3.0
"4 BHK Flat for Rent in Prestige Waterford, Whitefield, Bangalore",,₹1.1 Lac,Super Area2555 sqft,5,5.0
5 BHK Villa for Rent in Whitefield Bangalore,,₹3.2 Lac,Super Area6200 sqft,5,5.0
5 BHK Villa for Rent in Nandi Hills Bangalore,,₹4.5 Lac,Carpet Area7500 sqft,5,5.0
"4 BHK Flat for Rent in DNR Atmosphere, Whitefield, Bangalore",,₹1.2 Lac,Carpet Area1989 sqft,4,4.0
"3 BHK Flat for Rent in Tata Promont, Block 1st Stage 3rd Banashankari, Bangalore",,"₹87,600",Carpet Area2016 sqft,3,3.0
4 BHK Villa for Rent in Devanahalli Bangalore,,₹2.3 Lac,Super Area686 sqft,4,4.0
"1 BHK Flat for Rent in Prestige Song of the South, Begur Road, Bangalore",,"₹30,000",Carpet Area470 sqft,1,19.0
Office Space for Rent in Indiranagar Bangalore,,₹2.8 Lac,Carpet Area2970 sqft,Bachelors/Family,4.0
"2 BHK Flat for Rent in ACS Meghana And Shalini Towers, Banashankari, Bangalore",,"₹40,000",Super Area1695 sqft,2,2.0
"3 BHK Flat for Rent in Bhartiya City Nikoo Homes, Thanisandra, Bangalore",,"₹42,000",Super Area1265 sqft,2,2.0
"2 BHK Flat for Rent in Sobha Dream Gardens, Manayata Tech Park, Bangalore",,"₹37,000",Carpet Area626 sqft,2,2.0
"4 BHK Villa for Rent in Epip Zone, Whitefield Bangalore",,₹3.8 Lac,Carpet Area3000 sqft,4,4.0
"3 BHK Flat for Rent in Prestige Ferns Residency, Haralur Main Road, Bangalore",,"₹72,000",Carpet Area1749 sqft,3,3.0
4 BHK House for Rent in Budigere Cross Bangalore,,₹1.8 Lac,Super Area4600 sqft,4,4.0
"2 BHK Flat for Rent in Bren Edgewaters, Sarjapur Road, Bangalore",,"₹55,000",Super Area1121 sqft,2,2.0
"3 BHK Flat for Rent in L And T Raintree Boulevard Phase 2, Jakkuru Layout, Jakkuru, Bangalore",,"₹70,000",Carpet Area1550 sqft,4,4.0
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapura, Bangalore",,"₹65,000",Carpet Area1252 sqft,3,3.0
